referenceDataUserId,phoneNumber,email,allowNotify,emailVerified
35316636-6264-6331-2d34-3933322d3462,,example@mail.com,true,true
a337ec45-31a0-4f2b-9b2e-a105c4b669bb,,administrator@openlmis.org,true,true
56a50e9a-9668-437d-a09c-7e709ce22222,,devadmin@openlmis.org,true,true
c994d1ea-47f7-435d-9d4d-42fb54197698,,srmanager1@openlmis.org,true,true
f72bf4ee-eb86-4bfd-be88-4f481f4e2fe0,,srmanager2@openlmis.org,true,true
7d6c0269-0c6a-4c9a-a098-46de276b9d26,,srmanager3@openlmis.org,true,true
c54df462-66d8-4a02-bee9-b786fe2f30ee,,olmis.user@gmail.com,true,true
cb5cd52f-f205-475d-8763-90852839424d,,smanager1@openlmis.org,true,true
9b2778af-5372-4410-a5c8-899e7f74296b,,smanager2@openlmis.org,true,true
2fbe9be3-f5e4-47ec-a10a-f3380c0daf75,,smanager3@openlmis.org,true,true
469c6e1c-aab7-4640-8925-f3c34bbe752d,,smanager4@openlmis.org,true,true
573cf089-dfff-4273-b353-d94058164e55,,dsrmanager@openlmis.org,true,true
2bb552b3-0324-42ef-bb21-c5cc74a38592,,psupervisor@openlmis.org,true,true
247b366d-f8ab-4226-9ae9-a188d5ee8e22,,wclerk1@openlmis.org,true,true
476415b1-ca81-4561-a3b7-fa3d08434800,,wclerk2@openlmis.org,true,true
1e3b03a5-1d48-4de1-bb4a-389beece2277,,rivo@openlmis.org,true,true
560be32a-ea2e-4d12-ae00-1f69376ad535,,divo1@openlmis.org,true,true
0053b56d-be93-4d82-a021-b713dbaae2a9,,divo2@openlmis.org,true,true
211a6b4d-3c59-4fb2-8075-eedb79a18103,,vsrmanager1@openlmis.org,true,true
c6f44c75-d2d3-4ca9-b5e8-7eb3bf1ff31f,,vsrmanager2@openlmis.org,true,true
ce962fad-c872-4244-92fe-2f70995d311a,,vwclerk1@openlmis.org,true,true
9cc9a0a4-e434-4582-9efc-2a1de44bc1f1,,vnurse1@openlmis.org,true,true
b4eae7b4-42f6-4315-9c8c-c4ebb05213cf,,info@openlmis.org,true,true
c192b37f-f55f-4eaa-97ec-9864c6ca04c0,,testuser6@test.com,true,true
8cb00ce6-6885-4704-802f-1d29b901454a,,test@test.com,true,true
facf6588-8496-470b-b523-821ff94efc66,,test3@test.com,true,true
0eee5e76-ca01-47b0-ae7b-0886e792cd80,,test4@test.com,true,true
86985eba-2915-45c6-ae3b-f89dc809f128,,test5@test.com,true,true
c8986040-3591-4cbd-8ce0-45b9ec9daee9,,test6@test.com,true,true
87446d01-485f-4f28-a93f-7f3ec025bde8,,test7@test.com,true,true
aed6a0f7-c388-4d85-b899-d998ac205861,,test8@test.com,true,true
7a2e40a2-aeea-46e8-8a0b-9f9d82316677,,test9@test.com,true,true
ba7aa628-d6d4-4c8f-bb00-2fca48d30994,,test10@test.com,true,true
49e62743-5d0d-4eef-aafd-b6080a3aa306,,test11@test.com,true,true
70527ce7-c689-4f18-8584-8fd70f2c2ef1,,test12@test.com,true,true
3a52013d-5fed-4c62-8623-088387dcbb5b,,test13@test.com,true,true
609cf451-d3f6-484d-b483-cbb51b098924,,test14@test.com,true,true
99cba7f3-e6ce-45b5-8320-fd7d2efda0e1,,test15@test.com,true,true
be208e03-506e-4836-b7c4-9a3a1554e6e7,,test16@test.com,true,true
fb5d1a27-bec5-4752-a575-a653fe76e802,,test17@test.com,true,true
aefc316a-1b9c-45ae-b67d-51acbac35d9d,,test18@test.com,true,true
c79e8da9-d078-4273-8dfb-c5bc9b1057f3,,test19@test.com,true,true
3c693dc0-e8b2-45bc-8b5d-e9a6dbb037ea,,test20@test.com,true,true
741e9f8b-6d29-4481-8760-16da94ae7767,,test21@test.com,true,true
79323d11-cba3-463e-8f63-045ee6bb8b79,,test22@test.com,true,true
fd106df0-8440-4cc7-b11a-d19428805721,,test23@test.com,true,true
de979383-e976-44c1-8c8d-022ab4408e54,,test24@test.com,true,true
7c37baa3-87e0-46bc-a774-24c4c04491cb,,test25@test.com,true,true
41dd0924-fa8c-413b-ba4f-9ff18a2069e2,,test26@test.com,true,true
7e781b3f-902b-4375-a037-40f60a0391be,,Test27@test.com,true,true
71b97857-69c3-4976-b1b2-292db47b754d,,test28@test.com,true,true
f8de3790-2171-4803-8be2-b666497f82f6,,test29@test.com,true,true
2e0de77a-edbd-4d25-a4cb-7fc6fe4893a7,,test30@test.com,true,true
1474e06c-5885-4259-97de-1ab4a3629105,,test31@test.com,true,true
f35f1fe7-ce4d-478f-ab4d-5eacaf5e65e6,,test32@test.com,true,true
98218949-9870-4fe7-9b33-ad64c7eb3e19,,test33@test.com,true,true
1d1e8c13-39bb-4746-a7fd-fd8da218c4fe,,test34@test.com,true,true
80358fef-05e9-4a4a-a22a-1c1f55657477,,test35@test.com,true,true
ed313883-876b-4537-82e8-00b9eaed801f,,test36@test.com,true,true
f0aa5d4f-ca21-48f6-877d-1d7e7ed9cc4e,,test37@test.com,true,true
2244a98c-b537-432f-b8a1-21ca59d308db,,test38@test.com,true,true
ef7d13c8-7eae-4c32-ba1e-5b26f079e813,,test39@test.com,true,true
2c0a669b-dd57-446f-9f79-43d1a4ca06e0,,test40@test.com,true,true
feac366c-e1a2-49cb-8440-33b443191f36,,test41@test.com,true,true
0427fb1d-3cd1-4e89-9e7a-64044be8ae41,,test42@test.com,true,true
f15034ef-6c39-4a48-81ab-c3d2290b5927,,test43@test.com,true,true
35811ce7-bbf5-4104-9de2-16cb18205e02,,test44@test.com,true,true
993f8238-f67b-49c5-9a34-2ec0daeb3646,,test45@test.com,true,true
f78e1449-3b99-4818-9329-57651709dd35,,test46@test.com,true,true
a31d325f-b845-423b-b5e6-63fa43551c30,,test47@test.com,true,true
c509536c-4842-4d80-8864-1d08c96164cd,,test48@test.com,true,true
9c3278d9-9e73-482a-9a59-2d3135c3c6b1,,test49@test.com,true,true
bfee0a7c-bb85-4cc2-9990-dc8a60832427,,test50@test.com,true,true
4ca1a070-9fa1-489e-8b2b-c66797979065,,test51@test.com,true,true
5150ba8a-3a83-4aca-b86c-461bd89fb9b4,,test52@test.com,true,true
1c81a23d-53bc-48da-82a9-837d46fb97b7,,test53@test.com,true,true
b5ed451b-fec3-4315-8e59-3980afba48f1,,test54@test.com,true,true
a486aafd-3236-4c0c-9d13-b0f6d1cbc10c,,test68@test.com,true,true
